ID;RANK;NAME;CITY;COUNTRY_ISO_3;HEIGHT_M;HEIGHT_FT;FLOORS;BUILD;ARCHITECT;ARCHITECTUTAL_STYLE;COST;MATERIAL;LONGITUDE;LATITUDE;IMAGE_URL
1023;23;Princess Tower;Dubai;ARE;414.0;1358.2677268981934;101;2012;;;0.0;;0.0;0.0;https://tse1.mm.bing.net/th?id=OIP.WvL44sjJAfmeHGGhSufkcQHaHa&pid=Api
1024;24;Al Hamra Tower;Kuwait City;KWT;413.0;1354.9868869781494;80;2011;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Alhamra_Tower.jpg/400px-Alhamra_Tower.jpg
1025;25;Two International Finance Centre;Hong Kong;CHN;412.0;1351.7060470581055;88;2003;;;0.0;;0.0;0.0;http://images.skyscrapercenter.com/building/ifc_overalla_aw.jpg
1026;26;23 Marina;Dubai;ARE;395.0;1295.9317684173584;89;2012;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/23_Marina_2%2C_Nov_2014.jpg/480px-23_Marina_2%2C_Nov_2014.jpg
1027;27;CITIC Plaza;Guangzhou;CHN;391.0;1282.8084087371826;80;1997;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Guangzhou_CITIC_Plaza_DSC02461.jpg/480px-Guangzhou_CITIC_Plaza_DSC02461.jpg
1028;28;Shun Hing Square;Shenzhen;CHN;384.0;1259.842529296875;69;1996;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/c/c5/Shun_Hing_Square.jpg
1029;29;Eton Place Dalian Tower 1;Dalian;CHN;383.0;1256.561689376831;81;2015;;;0.0;;0.0;0.0;https://tse4.mm.bing.net/th?id=OIP.TJ1pglwLIqu2Zj_-V_ihWgHaJT&pid=Api
1030;30;Burj Mohammed bin Rashid;Abu Dhabi;ARE;381.2;1250.656177520752;88;2014;;;0.0;;0.0;0.0;https://tse4.mm.bing.net/th?id=OIP.TJ1pglwLIqu2Zj_-V_ihWgHaJT&pid=Api
1031;31;Empire State Building;New York City;USA;381.0;1250.0000095367432;102;1931;Shreve, Lamb and Harmon;Art Deco;40948.0;;40.7484;-73.9857;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg/500px-Empire_State_Building_by_David_Shankbone_crop.jpg
1032;32;Elite Residence;Dubai;ARE;380.5;1248.3595895767212;87;2012;;;0.0;;0.0;0.0;https://tse4.mm.bing.net/th?id=OIP.7DTiipVkJsXEO92aivmcwgHaLH&pid=Api
1033;33;Central Plaza;Hong Kong;CHN;374.0;1227.0341300964355;78;1992;;;0.0;;0.0;0.0;https://officefinder.com.hk/wp-content/uploads/2014/04/central-plaza.jpg
1034;34;Federation Tower (East Tower);Moscow;RUS;374.0;1227.0341300964355;95;2015;;;0.0;;0.0;0.0;http://images.skyscrapercenter.com/building/federation-towers-vostok-tower_igor-butyrskii6.jpg
1035;35;Dalian International Trade Center;Dalian;CHN;370.1;1214.2388544082642;86;2016;;;0.0;;0.0;0.0;
1036;36;The Address the BLVD;Dubai;ARE;368.0;1207.3490905761719;72;2016;;;0.0;;0.0;0.0;
1037;37;Bank of China Tower;Hong Kong;CHN;367.4;1205.3805866241455;70;1990;;;0.0;;0.0;0.0;https://images.chinahighlights.com/allpicture/2014/09/78f08db59b774c99a8dba076_cp_300x450.jpg
1038;38;Bank of America Tower;New York City;USA;366.0;1200.787410736084;54;2009;;;0.0;;0.0;0.0;https://i.pinimg.com/originals/de/e3/6c/dee36c8dbeb544f2b9df3c3ac576d415.jpg
1039;39;Almas Tower;Dubai;ARE;363.0;1190.9448909759521;68;2009;;;0.0;;0.0;0.0;
1040;40;JW Marriott Marquis Dubai Tower 1;Dubai;ARE;355.0;1164.6981716156006;82;2012;;;0.0;;0.0;0.0;
1041;40;JW Marriott Marquis Dubai Tower 2;Dubai;ARE;355.0;1164.6981716156006;82;2012;;;0.0;;0.0;0.0;
1042;41;Emirates Office Tower;Dubai;ARE;354.6;1163.385835647583;54;2000;;;0.0;;0.0;0.0;
1043;42;OKO Tower - South Tower;Moscow;RUS;354.0;1161.4173316955566;85;2015;;;0.0;;0.0;0.0;
1044;43;The Marina Torch;Dubai;ARE;352.0;1154.8556518554688;86;2011;;;0.0;;0.0;0.0;
1045;44;Forum 66 Tower 2;Shenyang;CHN;351.0;1151.5748119354248;68;2015;;;0.0;;0.0;0.0;
1046;45;The Pinnacle;Guangzhou;CHN;350.2;1148.9501399993896;60;2012;;;0.0;;0.0;0.0;
1047;45;Stratosphere Las Vegas;Las Vegas;USA;350.2;1148.9501399993896;0;1996;;;0.0;;0.0;0.0;
1048;46;Tuntex Sky Tower;Kaohsiung;TWN;347.0;1138.451452255249;85;1997;;;0.0;;0.0;0.0;
1049;47;Aon Center;Chicago;USA;346.3;1136.1548643112183;83;1973;;;0.0;;0.0;0.0;
1050;48;The Center;Hong Kong;CHN;346.0;1135.170612335205;73;1998;;;0.0;;0.0;0.0;
1051;49;John Hancock Center;Chicago;USA;344.0;1128.6089324951172;100;1969;;;0.0;;0.0;0.0;
1052;50;ADNOC Headquarters;Abu Dhabi;ARE;342.0;1122.0472526550293;76;2015;;;0.0;;0.0;0.0;
1053;50;Ahmed Abdul Rahim Al Attar Tower;Dubai;ARE;342.0;1122.0472526550293;76;2015;;;0.0;;0.0;0.0;
1054;52;The Wharf Times Square;Wuxi;CHN;339.0;1112.2047328948975;68;2014;;;0.0;;0.0;0.0;
1055;53;Chongqing World Financial Center;Chongqing;CHN;338.9;1111.876648902893;78;2014;;;0.0;;0.0;0.0;
1056;54;Mercury City Tower;Moscow;RUS;338.8;1111.5485649108887;75;2013;;;0.0;;0.0;0.0;
1057;55;Tianjin Modern City Office Tower;Tianjin;CHN;338.0;1108.9238929748535;65;2015;;;0.0;;0.0;0.0;
1058;56;Tianjin World Financial Center;Tianjin;CHN;337.0;1105.6430530548096;79;2010;;;0.0;;0.0;0.0;
1059;57;Twin Towers Guiyang, East Tower;Guiyang;CHN;335.0;1099.0813732147217;74;2017;;;0.0;;0.0;0.0;
1060;57;Twin Towers Guiyang, West Tower;Guiyang;CHN;335.0;1099.0813732147217;74;2017;;;0.0;;0.0;0.0;
1061;59;Shimao International Plaza;Shanghai;CHN;333.0;1092.5196933746338;61;2005;;;0.0;;0.0;0.0;
1062;60;Rose Tower;Dubai;ARE;333.0;1092.5196933746338;72;2007;;;0.0;;0.0;0.0;
1063;61;Minsheng Bank Building;Wuhan;CHN;331.0;1085.958013534546;68;2008;;;0.0;;0.0;0.0;
1064;62;China World Trade Center Tower 3;Beijing;CHN;330.0;1082.677173614502;74;2009;;;0.0;;0.0;0.0;
1065;62;Ryugyong Hotel;Pyongyang;PRK;330.0;1082.677173614502;105;1992;;;0.0;;0.0;0.0;
1066;62;Zhuhai St. Regis Hotel & Office Tower;Zhuhai;CHN;330.0;1082.677173614502;67;2017;;;0.0;;0.0;0.0;
1067;62;Yuexiu Fortune Center Tower 1;Wuhan;CHN;330.0;1082.677173614502;66;2017;;;0.0;;0.0;0.0;
1068;66;Hon Kwok City Center;Shenzhen;CHN;329.4;1080.7086696624756;80;2015;;;0.0;;0.0;0.0;
1069;67;Keangnam Hanoi Landmark Tower;Hanoi;VNM;328.6;1078.0839977264404;72;2012;;;0.0;;0.0;0.0;
1070;68;Al Yaqoub Tower;Dubai;ARE;328.0;1076.115493774414;69;2013;;;0.0;;0.0;0.0;
1071;68;Longxi International Hotel;Huaxi Village;CHN;328.0;1076.115493774414;72;2011;;;0.0;;0.0;0.0;
1072;68;Wuxi Suning Plaza 1;Wuxi;CHN;328.0;1076.115493774414;68;2014;;;0.0;;0.0;0.0;
1073;71;The Index;Dubai;ARE;326.0;1069.5538139343262;80;2010;;;0.0;;0.0;0.0;
1074;72;Guangxi Finance Plaza;Nanning;CHN;325.0;1066.2729740142822;68;2016;;;0.0;;0.0;0.0;
1075;73;The Landmark;Abu Dhabi;ARE;324.0;1062.9921340942383;72;2012;;;0.0;;0.0;0.0;
1076;73;Deji Plaza Phase 2;Nanjing;CHN;324.0;1062.9921340942383;62;2013;;;0.0;;0.0;0.0;
1077;75;Yantai Shimao No.1 The Harbour;Yantai;CHN;323.0;1059.7112941741943;59;2015;;;0.0;;0.0;0.0;
1078;76;Q1;Gold Coast;AUS;322.5;1058.0708742141724;80;2005;;;0.0;;0.0;0.0;
1079;77;Wenzhou World Trade Center;Wenzhou;CHN;322.0;1056.4304542541504;68;2010;;;0.0;;0.0;0.0;
1080;78;Burj Al Arab;Dubai;ARE;321.0;1053.1496143341064;60;1999;;;0.0;;0.0;0.0;
1081;79;Nina Tower;Hong Kong;CHN;320.4;1051.18111038208;80;2007;;;0.0;;0.0;0.0;
1082;80;Sinar Mas Center 1;Shanghai;CHN;319.6;1048.556438446045;66;2016;;;0.0;;0.0;0.0;
